iter	Passed	Remaining
0	130	12874
1	133	6548
2	136	4419
3	139	3356
4	141	2697
5	144	2271
6	147	1961
7	151	1739
8	154	1557
9	156	1411
10	159	1292
11	161	1185
12	165	1109
13	167	1028
14	169	960
15	172	904
16	174	851
17	176	803
18	179	765
19	182	730
20	185	697
21	188	666
22	190	639
23	193	614
24	197	591
25	199	568
26	202	547
27	205	528
28	208	510
29	211	494
30	213	475
31	216	459
32	219	445
33	221	430
34	225	418
35	228	405
36	231	393
37	233	381
38	236	370
39	239	359
40	242	349
41	245	339
42	248	329
43	251	319
44	254	310
45	257	302
46	260	293
47	263	285
48	266	277
49	268	268
50	272	261
51	275	254
52	278	246
53	281	239
54	284	232
55	287	225
56	290	219
57	293	212
58	296	205
59	298	199
60	302	193
61	305	187
62	308	180
63	310	174
64	313	168
65	316	163
66	319	157
67	322	151
68	325	146
69	328	140
70	331	135
71	334	130
72	338	125
73	341	119
74	344	114
75	347	109
76	350	104
77	353	99
78	355	94
79	358	89
80	362	84
81	365	80
82	368	75
83	370	70
84	373	65
85	377	61
86	380	56
87	383	52
88	386	47
89	389	43
90	392	38
91	395	34
92	398	30
93	401	25
94	404	21
95	407	16
96	410	12
97	413	8
98	416	4
99	419	0
